Timestamp,Institution,Which best describes your role in coastal wetland carbon science?,Which best describes the spatial scale of your work?,Where are you in your career?,I primarily work...,What type coastal wetland carbon data would you like to see synthesized and publically available?,What is your preferred way of accessing data?,Do you have data you would like to make publicly available,Is there any support the network can give you to help with the process of making your data publicly available?,What kind of data are you interested in submitting?,What is your motivation for archiving your data?,What type of training would improve your capacity as a scientist / practitioner / policy expert?,Would any of these proposed workshops be of interest to you?,"Do you have an idea for a collaborative workshop with the goal of a synthesis dataset, model, or and/or publication?",What are some things that have worked about a collaborative workshops you have attended? ,"What can make a collaborative workshop ineffective, but can be avoided?",Where do you see the state of Coastal Wetland Carbon Research and Practice in 5 years (10 years)?,Do you have any other feedback or concerns?
1/12/2018 15:10:32,Delaware National Estuarine Research Reserve,Scientist,sites,Senior Researcher / Manager,Inside the U.S.,"Carbon Stocks, vertical fluxes, lateral fluxes","A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data","In the future, yes","Help with formatting, Algorithms for Quality Control, Having an agreed upon policy for data use and citation",,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,"Networking, idea sharing, 5-minute 'ignite' talks so we all get a preview of efforts being worked on ",Not having an unbiased moderator/facilitator,"A part of an incentive for coastal restoration and wetland creation projects, having a better understanding of variability, having a full carbon cycle picture (stock, vertical, lateral).",
1/12/2018 15:13:46,US Geological Survey ,Scientist,sites,Senior Researcher / Manager,Inside the U.S.,"All, stocks and fluxes ",Writing your own code to query databases,Yes,,"Atmospheric flux, hydrologic flux",Participating and strengthening the scientific community,"Data management (GitHub, R), Statistics and modeling",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,,,,,This is awesome. Necessary and productive. Thank you. 
1/12/2018 15:25:39,Silvestrum Climate Associates,Land Manager / Practitioner,national,Senior Researcher / Manager,Both,Reference values with CIs ,"Neat summary tables and graphics, Linked spreadsheets with raw and summary data",No,,,,"Data management (GitHub, R)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange","Quantifying emissions of carbon with wetland erosion. Prioritizing data needs, Applying coastal wetland data to national GHG inventories","Having a focused question that a group can work on by bringing their own data or through analysis at event.   The NCEAS approach might be considered which uses a series of workshops to tackle a question, usually with a high impact article the outcome. ",Lack of a focused question /goal,"an established dataset for reference carbon stocks globally. Having some data and approaches for quantifying fate of lateral flux and inorganic carbonate cycling in ranging geomorphic settings.  More broadly, I hope that we have a globally established dataset (and understanding of uncertainty) upon which national policies can be developed and applied ",Will be important to continue to engage with the user community who will be applying data from the CCR. 
1/12/2018 15:58:15,"FL Fish and Wildlife Conservation Commission, Fish & Wildlife Research Institute",Scientist,landscapes,Early Career,Inside the U.S.,"belowground carbon stocks, above ground biomass, age-depth models",A visual map interface with point and click data,Yes,,Carbon stocks,"Fulfilling funding requirements, Participating and strengthening the scientific community","Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
1/12/2018 16:40:51,University of Alaska,Scientist,landscapes,Early Career,Inside the U.S.,"Stocks, depth, and fluxes",A visual map interface with point and click data,Maybe,,,,"Working with stakeholders (seminars, community events)",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,Lateral transport of carbon from upstream landscapes into coastal wetlands,"Defined goals, targeted publications, strong guidance from leadership.","Vague goals, allowing too much waffling by group","High resolution mapping of stocks (5), then defined practices for creating coastal carbon reserves, stockpiles, and incorporating those landscapes into carbon strategies (10).","This is a great project.  I've been involved in two RCNs, one of which I'm currently leading focusing on the flux of carbon from terrestrial to marine systems, including wetlands and blue carbon concerns.  I'd love to keep informed on this one."
1/12/2018 16:44:52,University of Victoria,Scientist,sites,,Outside the U.S.,,"A visual map interface with point and click data, Linked spreadsheets with raw and summary data",Maybe,Having an agreed upon policy for data use and citation,,,"Field methods (videos, meetings, seminars, wikis)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling",,,,,
1/12/2018 16:55:11,Florida Atlantic University,Scientist,landscapes,Senior Researcher / Manager,Both,horizontal (land-water) exchange,Linked spreadsheets with raw and summary data,Maybe,"Help with meta-data, Having an agreed upon policy for data use and citation, Creating a citable digital object identifier for the data (DOI)",,,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",Developing coastal wetland PFT for Earth System Models,"Clear statement of an outcome product (e.g., manuscript or position paper) with activities to advance that goal (e.g., topic-defined breakout or working group sessions) within the timeframe of the workshop",Being overly ambitious and/or broad in scope with regard to objective. Too many participants can also slow or impede progress,,
1/12/2018 17:37:11,Hokkaido University,Scientist,sites,Student,Outside the U.S.,,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",No,,,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling",,,,,,
1/12/2018 17:55:11,"Baruch College, City University of New York",Scientist,plots,Senior Researcher / Manager,Inside the U.S.,"salt marsh, seagrass breakdown of belowground and soil C","A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Maybe,"Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context, Creating a citable digital object identifier for the data (DOI)",,,"Field methods (videos, meetings, seminars, wikis), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
1/12/2018 18:14:37,University of Alaska Fairbanks,Scientist,landscapes,Early Career,Inside the U.S.,"Sediment grain size at sites and how it relates to organic/inorganic matter, relationships between organic and inorganic matter, temperature and carbon sequestration","A visual map interface with point and click data, Neat summary tables and graphics, As long as the metadata are useful, raw .csv files are the best for independent analysis in R. ",Yes,,Seagrass carbon and sediment data,"Fulfilling funding requirements, Long-term safety of my data (hard drive crashes, acts of god, retirement), Participating and strengthening the scientific community","Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",Learning how to account for substrate variability over large spatial scales.,I have not attended a collaborative workshop. ,Meetings and discussions without an end goal (too many available discussion points that easily circle around).,"Moving towards interdisciplinary collaboration with multiple stakeholders, especially those that are socioeconomic minded. ",
1/12/2018 18:36:09,Villanova University ,Scientist,plots,Student,Inside the U.S.,NPP for different plant species,Neat summary tables and graphics,Maybe,"Help with formatting, Having an agreed upon policy for data use and citation",,,"Data management (GitHub, R)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
1/12/2018 19:58:01,Stanford University,Scientist,global,Early Career,Inside the U.S.,,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Yes,,,"Fulfilling funding requirements, Long-term safety of my data (hard drive crashes, acts of god, retirement), Participating and strengthening the scientific community","Data management (GitHub, R), Statistics and modeling","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,"Break-out groups, time for synthesis and discussion of topics/ideas",,Hopefully a better understanding and quantification of CH4 fluxes from coastal wetlands! ,
1/12/2018 22:49:57,The Chinese University of Hong Kong,Scientist,landscapes,Student,Outside the U.S.,mangrove,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data, Writing your own code to query databases",Yes,,raw data,"Getting cited in data syntheses, Participating and strengthening the scientific community","Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,Maybe.,Develop research ideas,Participants with different background,Promising,
1/15/2018 10:46:03,Comisión Nacional de Áreas Naturales Protegidas,Land Manager / Practitioner,landscapes,Early Career,Outside the U.S.,"Carbon stocks, methods to quantify carbon",A visual map interface with point and click data,Maybe,Creating a citable digital object identifier for the data (DOI),,,"Field methods (videos, meetings, seminars, wikis), Statistics and modeling, Working with stakeholders (seminars, community events)",,,clear and reachable objectives,,"Methods with less uncertainty, an easy way to quantify carbon in different types of ecosystems",How to communicate scintific research to managers and policy makers. 
1/15/2018 20:05:34,Otterbein University,"Scientist, Student",plots,Student,Inside the U.S.,All data!,"A visual map interface with point and click data, Linked spreadsheets with raw and summary data",No,,,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,Making the workshop too specific to one type of audience,I see it becoming bigger and more well known,
1/16/2018 10:28:25,USGS,Scientist,national,Senior Researcher / Manager,Inside the U.S.,,A visual map interface with point and click data,Yes,,USGS carbon data,Participating and strengthening the scientific community,"Field methods (videos, meetings, seminars, wikis)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange","No, but I thought the objective of the network is to establish a standardized research protocol","Specific goals, commitment to follow up.","Without a specific goal, without follow up.",,
1/16/2018 11:13:44,Marine Biological Laboratory,Scientist,sites,Senior Researcher / Manager,Inside the U.S.,Carbon fluxes and stocks in wetland and vegetation maps.,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Yes,,Carbon flux data in salt marsh,"Getting cited in data syntheses, Participating and strengthening the scientific community","Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of plant community shifts for coastal greenhouse gas balance, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,It will move on quickly to link science and practice. ,
1/16/2018 11:35:18,USDA NRCS,Scientist,landscapes,Early Career,Inside the U.S.,Carbon stocks by depth,A visual map interface with point and click data,Yes,,Soil survey and site specific soil data,Participating and strengthening the scientific community,"Data management (GitHub, R), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",National Cooperative Soil Survey - leveraging the soil survey data in coastal blue carbon accounting,Bringing data users and data producers together to discuss needs and resources.  ,No clear goal or product at end of workshop.,"This will be an important consideration in coastal wetland change, restoration, and loss analysis and, hopefully, policy.","As a member of the Coastal Zone Soil Survey Team of the National Cooperative Soil Survey, we are working toward improving soil survey sampling and data in coastal areas.  We have standard protocols, nationally distributed staff, and a database and data portals ready to serve soil carbon data.  Cooperating with others in data gathering and distribution for soil blue carbon would be beneficial to all parties.  "
1/16/2018 13:07:23,US Dept of Energy,Program Manager,global,Senior Researcher / Manager,Both,Model Uncertainties related to data gaps,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",No,,,,"Field methods (videos, meetings, seminars, wikis), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,death by powerpoint,,
1/16/2018 13:16:51,Argonne National Lab,Scientist,sites,Early Career,Inside the U.S.,,"Neat summary tables and graphics, Linked spreadsheets with raw and summary data, Writing your own code to query databases",No,,,,"Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing)",Consequences of plant community shifts for coastal greenhouse gas balance,,,insufficient pre-planning of approach and unclear or indefinite (no deadline) assignment of post-workshop efforts,,
1/17/2018 7:16:30,None at the moment ,Scientist,plots,It’s complicated,Outside the U.S.,Soil carbon ,A visual map interface with point and click data,Yes,,Seagrass soil organic carbon content,"Getting cited in data syntheses, Participating and strengthening the scientific community","Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,In a constant improved importance in coastal management ,
1/17/2018 10:04:23,Virginia Institute of Marine Science,Scientist,landscapes,Senior Researcher / Manager,Inside the U.S.,"soil carbon by wetlands type (tidal fresh, brackish, salt) with/by field collection method","A visual map interface with point and click data, Linked spreadsheets with raw and summary data",Maybe,"Help with formatting, Help with meta-data, Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context",,,"Field methods (videos, meetings, seminars, wikis), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,Support and clear plan/timeline for post-workshop collaboration on products; good facilitator,,,
1/17/2018 11:59:19,Restore America's Estuaries,"outreach, project developer",national,Senior Researcher / Manager,Inside the U.S.,regional default values for c stock and sequestration for variety of habitat types,Neat summary tables and graphics,No,,,,"Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,presentation of status/facts followed by facilitated discussion,not having various sectors represented in the room (i.e. need practitioners and researcher),an accessible and full database for the US and pilot projects earning credits,
1/17/2018 16:56:39,Florida Forest Service,GIS Coordinator,plots,Senior Researcher / Manager,Inside the U.S.,One for mangrove forests of the Souhteastern US,A visual map interface with point and click data,Yes,,"FIA invenotry data, G-LiHT remote sensing data",Participating and strengthening the scientific community,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing)",Consequences of land use change for coastal wetland carbon cycling,Workshop which brings together Southeastern United States researchers and agency data collectors for blue carbon and ecosystem service discovery session. How do agencies and researchers share and bring together data for common goals? ,Breaking up into smaller work groups and then coming together and finding common themes as a whole.,While effective presentations from the workshop participants can be very helpful; too many presentations can stifle creative discussions. It's helpful to find the right balance.,"Hopefully to a place of common ground, where datasets are more standardized and easily shared between agencies for blue carbon, as well as ecosystem service valuations.",
1/19/2018 10:04:15,Bryn Mawr College,Scientist,sites,Early Career,Inside the U.S.,,A visual map interface with point and click data,Yes,,"C Content, bulk density, loi","Fulfilling funding requirements, Getting cited in data syntheses","Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,Having an agenda and data for synthesis available in hand,lack of structure,,
1/20/2018 20:40:33,University of Delaware,Scientist,sites,Student,Both,"vertical and horizontal carbon fluxes in atmosphere, water and soil",A visual map interface with point and click data,No,,,,"Data management (GitHub, R), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange","It would be great to work with Latin American partners (scientist / governmental agencies) to first create a trust repository for mangrove field work data and second to synthesis data to estimate current mangrove carbon stocks (AGC and BGC; field work data) and to predict them with high spatial resolution data (i.e., remote sensing data). There have been efforts to predict carbon in Latin America mangroves, however they had not have many field work data and they used coarse resolution sources.","Be clear in the workshop goals and expectations. Try to include the expert knowledge. Work as lead and generate trust. Consider that many scientist want to participate even with data but they have a lot of responsibilities to follow the workshop homework, so,  use technology tools to do thing easy and generate results on time. Work with local people.",To generate false expectations and not to be inclusive,"It would be really useful to see a repository for data from USA and other partners. Also it would be great too see/be part of synthesis studies around the world. I know that some countries in Latin America have been looking from many years ago to create a coastal wetland network but it have not been consolidated it, this could be an option to think global.",Not yet!
1/21/2018 15:45:29,Bowling Green State University,Scientist,sites,Student,Inside the U.S.,"soil carbon profiles, modeling tools",Linked spreadsheets with raw and summary data,No,,,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)",Consequences of plant community shifts for coastal greenhouse gas balance,,,,,
1/22/2018 7:04:43,University College Cork,Scientist,plots,Early Career,Outside the U.S.,carbon sequestration rates ,Neat summary tables and graphics,Maybe,Algorithms for Quality Control,,,"Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,"A large increase in the baseline data available, with most countries including coastal wetlands in their GHG inventory report, NDC's, and mitagation and adaptation plans",
1/23/2018 16:52:10,Florida International University,Scientist,landscapes,Student,Both,plant and blue carbon d13C,Linked spreadsheets with raw and summary data,Maybe,"Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context, Creating a citable digital object identifier for the data (DOI)",,,"Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Working with stakeholders (seminars, community events)","Consequences of plant community shifts for coastal greenhouse gas balance, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
1/26/2018 12:32:16,University of Delaware,Graduate Student Researcher,sites,Student,Inside the U.S.,"CO2/CH4 flux data, soil C stock","A visual map interface with point and click data, Linked spreadsheets with raw and summary data",Maybe,"Help with formatting, Help with meta-data, Algorithms for Quality Control, Creating a citable digital object identifier for the data (DOI)",,,"Data management (GitHub, R), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",Rising sea levels and carbon cycling,Hands-On Activities/Instruction,,Moving towards long-term data sets of C dynamics,
1/26/2018 13:03:02,Instituto Tecnologico de Sonora,Scientist,plots,Early Career,Outside the U.S.,"fluxes, storage, environmental variables ","A visual map interface with point and click data, Neat summary tables and graphics",not yet but will have ,"Help with formatting, Help with meta-data, Algorithms for Quality Control, Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context, Creating a citable digital object identifier for the data (DOI)",,,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,,,,"this is the first time i hear from is from a fried, no idea on goals and objectives ",
